Dataset,Distance,Subset Accuracy,Accuracy,F1 Score Macro,F1 Score Micro,Hamming Loss
birds,AverageHausdorff,0.0,0.01633986928104575,0.019736842105263157,0.056074766355140186,0.1042311661506708
birds,MaximalHausdorff,0.0196078431372549,0.0196078431372549,0.008771929824561403,0.019417475728155338,0.1042311661506708
birds,MinimalHausdorff,0.058823529411764705,0.06274509803921569,0.024060150375939848,0.07339449541284404,0.1042311661506708
image,AverageHausdorff,0.16,0.17625,0.21444551623221683,0.27256637168141595,0.2055
image,MaximalHausdorff,0.06,0.06875,0.0869047619047619,0.11969111969111969,0.228
image,MinimalHausdorff,0.125,0.13375,0.14078451260115094,0.20727272727272728,0.218
