Dataset,Distance,Subset Accuracy,Accuracy,F1 Score Macro,F1 Score Micro,Hamming Loss
birds,AverageHausdorff,0.0,0.0196078431372549,0.016869095816464237,0.0380952380952381,0.1042311661506708
birds,MaximalHausdorff,0.0196078431372549,0.0196078431372549,0.00554016620498615,0.019230769230769232,0.10526315789473684
birds,MinimalHausdorff,0.0196078431372549,0.05294117647058823,0.04845446950710108,0.10526315789473684,0.10526315789473684
image,AverageHausdorff,0.3,0.3377083333333333,0.2887375447989259,0.4171270718232044,0.211
image,MaximalHausdorff,0.1225,0.14791666666666667,0.15606732914705818,0.21739130434782608,0.252
image,MinimalHausdorff,0.27,0.2975,0.22915739675233343,0.3784570596797671,0.2135
